ID, Course, Class, Grade
36, 19, 6, 0
24, 13, 19, 0
0, 15, 12, 0
22, 9, 16, 0
3, 3, 17, 0
12, 7, 8, 0
29, 1, 14, 0
1, 26, 14, 0
48, 18, 17, 0
14, 29, 15, 0
6, 7, 19, 0
43, 10, 19, 0
9, 3, 7, 0
44, 12, 4, 0
21, 0, 15, 0
28, 20, 18, 0
35, 1, 10, 0
23, 19, 10, 0
8, 17, 12, 0
29, 12, 9, 0
0, 9, 0, 0
21, 7, 14, 0
20, 20, 0, 0
13, 22, 16, 0
1, 22, 19, 0
2, 22, 10, 0
13, 19, 12, 0
15, 9, 3, 0
39, 29, 11, 0
43, 9, 7, 0
27, 19, 2, 0
17, 0, 17, 0
9, 17, 2, 0
13, 13, 18, 0
33, 8, 12, 0
49, 9, 16, 0
7, 26, 17, 0
10, 24, 18, 0
0, 7, 18, 0
35, 14, 6, 0
15, 21, 6, 0
27, 28, 0, 0
5, 29, 18, 0
16, 6, 13, 0
38, 8, 4, 0
48, 3, 9, 0
7, 7, 6, 0
22, 24, 13, 0
2, 20, 12, 0
2, 11, 1, 0
31, 24, 10, 0
40, 23, 2, 0
28, 16, 5, 0
26, 0, 3, 0
39, 25, 19, 0
46, 18, 3, 0
40, 21, 7, 0
35, 2, 12, 0
38, 27, 19, 0
42, 27, 13, 0
5, 17, 14, 0
45, 16, 6, 1
16, 25, 16, 1
6, 19, 17, 1
21, 8, 19, 1
9, 22, 19, 1
41, 1, 16, 1
23, 9, 14, 1
43, 19, 2, 1
27, 5, 8, 1
14, 27, 5, 1
22, 18, 8, 1
29, 7, 5, 1
45, 5, 18, 1
39, 29, 2, 1
2, 9, 17, 1
21, 0, 4, 1
31, 0, 7, 1
36, 16, 18, 1
40, 0, 6, 1
6, 6, 14, 1
19, 12, 16, 1
15, 3, 6, 1
5, 8, 9, 1
26, 1, 1, 1
16, 22, 10, 1
19, 28, 14, 1
39, 18, 16, 1
2, 23, 13, 1
8, 24, 12, 1
19, 21, 10, 1
25, 19, 17, 1
31, 19, 3, 1
11, 28, 13, 1
36, 10, 13, 1
36, 18, 15, 1
39, 13, 14, 1
45, 19, 12, 1
16, 19, 9, 1
22, 0, 0, 1
48, 27, 18, 1
22, 13, 1, 1
9, 14, 17, 1
28, 29, 5, 1
38, 12, 1, 1
48, 10, 14, 1
34, 1, 7, 1
33, 4, 6, 1
45, 13, 7, 1
49, 7, 15, 1
22, 18, 18, 1
25, 26, 6, 1
34, 8, 14, 1
47, 9, 1, 1
1, 11, 4, 1
29, 5, 7, 1
3, 23, 16, 1
16, 29, 3, 1
21, 10, 17, 1
46, 6, 4, 1
47, 2, 10, 1
1, 25, 7, 1
11, 27, 3, 1
18, 10, 3, 1
24, 4, 18, 1
25, 29, 2, 1
45, 2, 0, 1
43, 21, 7, 1
20, 29, 0, 2
12, 28, 14, 2
36, 13, 15, 2
47, 7, 12, 2
19, 25, 3, 2
23, 27, 9, 2
22, 9, 12, 2
31, 19, 12, 2
27, 18, 16, 2
34, 17, 8, 2
37, 27, 3, 2
12, 28, 9, 2
24, 26, 14, 2
7, 15, 11, 2
36, 19, 5, 2
2, 13, 3, 2
5, 8, 6, 2
5, 12, 11, 2
38, 16, 0, 2
1, 19, 13, 2
13, 4, 4, 2
34, 23, 11, 2
6, 21, 18, 2
10, 10, 9, 2
36, 8, 3, 2
11, 8, 14, 2
6, 16, 19, 2
1, 3, 15, 2
43, 26, 7, 2
18, 17, 16, 2
29, 3, 17, 2
8, 0, 9, 2
11, 19, 10, 2
3, 25, 17, 2
34, 9, 14, 2
29, 7, 9, 2
36, 24, 9, 2
38, 26, 14, 2
8, 10, 0, 2
7, 23, 0, 2
44, 21, 5, 2
13, 13, 8, 2
10, 25, 15, 2
10, 20, 15, 2
9, 6, 8, 2
20, 4, 17, 2
43, 5, 18, 2
9, 28, 17, 2
38, 13, 10, 2
1, 19, 16, 2
1, 3, 14, 2
42, 5, 8, 2
0, 15, 9, 2
30, 6, 8, 2
10, 1, 4, 3
1, 5, 10, 3
16, 7, 9, 3
40, 10, 15, 3
49, 19, 5, 3
