ID, Course, Class, Grade
30, 13, 5, 24
36, 19, 6, 0
6, 8, 3, 32
23, 0, 7, 51
26, 27, 17, 25
21, 1, 0, 3
16, 5, 11, 60
8, 2, 15, 60
25, 13, 4, 21
24, 12, 2, 70
12, 17, 15, 75
40, 24, 7, 56
11, 26, 13, 54
8, 23, 17, 56
29, 0, 8, 39
32, 23, 19, 50
28, 6, 3, 3
0, 7, 13, 23
15, 18, 18, 15
34, 7, 3, 35
34, 6, 1, 64
12, 28, 0, 31
28, 28, 10, 23
13, 11, 5, 52
49, 8, 15, 40
36, 10, 15, 73
1, 5, 0, 55
43, 5, 3, 69
33, 14, 13, 5
5, 25, 8, 13
5, 20, 8, 28
32, 13, 12, 53
24, 7, 13, 60
40, 20, 13, 41
16, 25, 16, 1
10, 1, 10, 3
26, 5, 1, 71
12, 29, 16, 17
0, 27, 17, 44
40, 0, 17, 4
7, 3, 16, 29
3, 11, 10, 9
16, 29, 10, 78
30, 22, 2, 66
39, 15, 9, 51
44, 16, 8, 64
23, 16, 0, 45
6, 28, 2, 5
3, 18, 15, 56
0, 27, 18, 58
26, 18, 17, 67
33, 21, 5, 72
36, 5, 4, 30
13, 14, 7, 68
0, 19, 13, 18
9, 5, 16, 22
46, 3, 19, 78
0, 17, 16, 69
7, 25, 8, 10
36, 13, 15, 2
10, 19, 5, 73
33, 14, 13, 66
45, 7, 16, 5
4, 12, 7, 72
15, 26, 10, 28
35, 27, 9, 73
32, 27, 15, 61
40, 10, 15, 3
41, 12, 16, 5
38, 2, 3, 44
9, 9, 9, 75
32, 26, 8, 79
45, 8, 19, 50
37, 18, 15, 42
5, 11, 15, 28
13, 20, 11, 75
43, 29, 0, 71
21, 13, 15, 62
4, 16, 18, 26
13, 18, 18, 40
38, 27, 10, 18
26, 18, 0, 71
29, 17, 19, 74
37, 20, 9, 32
10, 1, 4, 3
26, 21, 6, 31
40, 16, 17, 33
34, 25, 13, 34
15, 5, 12, 11
23, 4, 14, 14
1, 14, 9, 29
36, 20, 13, 38
32, 17, 2, 48
21, 8, 19, 1
14, 9, 6, 50
16, 1, 4, 21
38, 27, 12, 24
33, 7, 18, 45
3, 9, 6, 49
20, 29, 0, 2
39, 2, 2, 62
20, 24, 15, 6
13, 23, 16, 71
24, 20, 13, 42
39, 7, 6, 63
36, 27, 0, 9
18, 8, 11, 70
39, 1, 4, 10
43, 17, 12, 35
11, 19, 13, 56
12, 9, 7, 36
1, 0, 11, 51
10, 19, 6, 26
28, 6, 8, 67
16, 9, 17, 65
42, 2, 8, 7
41, 22, 14, 74
2, 17, 10, 36
46, 17, 5, 17
10, 6, 8, 40
37, 6, 18, 68
34, 26, 7, 40
27, 6, 18, 39
40, 28, 18, 31
30, 12, 5, 54
19, 7, 11, 15
5, 26, 5, 27
12, 15, 19, 21
12, 29, 9, 16
16, 8, 9, 33
45, 29, 5, 35
7, 3, 19, 67
36, 14, 2, 27
22, 23, 3, 69
29, 0, 8, 53
45, 19, 6, 29
48, 8, 6, 4
6, 17, 10, 21
16, 7, 9, 3
0, 28, 2, 38
14, 26, 6, 48
9, 21, 9, 30
13, 17, 15, 58
8, 22, 8, 17
2, 16, 13, 38
33, 23, 12, 71
12, 3, 6, 65
11, 8, 3, 57
25, 1, 6, 6
24, 5, 9, 47
5, 6, 6, 13
0, 16, 10, 72
42, 16, 3, 37
29, 7, 8, 74
30, 24, 19, 33
44, 2, 10, 39
16, 8, 18, 50
26, 9, 10, 41
5, 26, 6, 66
44, 19, 18, 38
15, 23, 15, 56
0, 25, 10, 52
49, 19, 5, 3
14, 28, 15, 60
38, 5, 2, 24
14, 12, 17, 39
30, 14, 5, 74
13, 16, 4, 70
9, 19, 6, 50
24, 29, 2, 15
18, 10, 19, 14
18, 6, 14, 48
11, 9, 13, 35
41, 20, 14, 54
16, 22, 0, 31
8, 5, 1, 37
44, 20, 19, 31
9, 2, 6, 19
44, 27, 14, 54
3, 20, 2, 6
19, 5, 1, 63
18, 18, 17, 76
12, 7, 8, 0
2, 11, 9, 19
23, 9, 10, 74
43, 26, 14, 37
36, 20, 11, 49
10, 13, 8, 50
21, 19, 5, 59
39, 12, 7, 61
19, 17, 13, 34
29, 23, 13, 74
32, 15, 9, 75
13, 15, 12, 9
37, 23, 11, 47
36, 19, 9, 77
0, 24, 8, 10
8, 6, 3, 20
23, 27, 14, 24
30, 19, 11, 24
24, 2, 19, 57
9, 23, 7, 46
18, 20, 5, 74
29, 15, 4, 69
1, 24, 11, 10
42, 25, 2, 68
32, 6, 4, 4
27, 5, 8, 1
39, 7, 10, 18
22, 9, 16, 0
9, 12, 6, 60
19, 0, 10, 30
27, 11, 12, 51
8, 14, 19, 20
22, 24, 4, 9
1, 12, 2, 11
1, 25, 1, 53
24, 28, 13, 14
30, 10, 14, 9
22, 6, 11, 21
40, 16, 13, 38
32, 22, 11, 17
28, 15, 6, 72
30, 1, 3, 43
6, 26, 17, 12
4, 22, 18, 26
34, 15, 15, 9
41, 29, 10, 63
15, 13, 2, 17
48, 23, 14, 28
20, 23, 0, 12
26, 25, 16, 44
2, 25, 16, 6
19, 15, 5, 54
32, 0, 3, 73
41, 15, 17, 26
11, 1, 16, 29
16, 2, 9, 36
27, 0, 9, 45
35, 27, 9, 29
22, 18, 8, 1
45, 23, 7, 77
23, 12, 10, 25
38, 29, 3, 9
2, 11, 10, 78
44, 9, 15, 73
1, 16, 19, 19
23, 10, 8, 15
28, 16, 8, 23
19, 26, 0, 35
48, 3, 12, 18
12, 15, 19, 25
19, 1, 3, 45
3, 20, 18, 14
36, 29, 13, 59
40, 22, 6, 48
0, 15, 12, 0
33, 4, 15, 33
47, 7, 12, 2
14, 3, 19, 13
15, 14, 10, 18
5, 9, 12, 43
8, 28, 15, 60
