ID, Course, Class, Grade
0, 28, 2, 38
0, 25, 10, 52
0, 7, 13, 23
0, 16, 10, 72
0, 17, 16, 69
0, 19, 13, 18
0, 27, 18, 58
0, 27, 17, 44
0, 10, 2, 8
0, 15, 12, 0
0, 22, 17, 50
0, 14, 10, 71
0, 8, 6, 48
0, 24, 8, 10
0, 20, 8, 42
0, 21, 0, 65
0, 7, 12, 23
0, 19, 10, 27
0, 10, 9, 49
0, 27, 6, 3
0, 19, 10, 39
0, 12, 6, 43
0, 10, 19, 74
0, 20, 1, 9
0, 2, 5, 23
0, 25, 8, 26
0, 10, 5, 73
0, 11, 8, 17
0, 18, 12, 67
0, 13, 17, 12
0, 1, 0, 24
0, 24, 11, 40
0, 9, 0, 0
0, 6, 3, 12
0, 27, 13, 79
0, 10, 18, 41
0, 13, 3, 20
0, 9, 4, 59
0, 4, 11, 34
0, 23, 17, 17
0, 6, 8, 77
0, 26, 9, 18
0, 19, 6, 58
0, 1, 13, 41
0, 8, 19, 70
0, 11, 10, 79
0, 27, 1, 58
0, 5, 4, 39
0, 9, 17, 27
0, 16, 7, 40
0, 20, 8, 55
0, 18, 5, 27
0, 26, 11, 10
0, 6, 8, 9
0, 1, 3, 33
0, 11, 17, 34
0, 18, 5, 58
0, 22, 9, 66
0, 16, 6, 73
0, 12, 5, 42
0, 4, 4, 16
0, 11, 18, 24
0, 7, 11, 35
0, 22, 5, 59
0, 3, 16, 47
0, 17, 0, 31
0, 10, 4, 78
0, 9, 13, 71
0, 5, 2, 32
0, 7, 18, 0
0, 11, 9, 47
0, 13, 4, 77
0, 17, 4, 30
0, 7, 17, 25
0, 8, 17, 3
0, 1, 13, 35
0, 20, 19, 18
0, 18, 11, 12
0, 16, 16, 35
0, 19, 5, 67
0, 9, 8, 53
0, 26, 8, 59
0, 3, 13, 46
0, 18, 12, 58
0, 19, 18, 30
0, 9, 4, 20
0, 7, 7, 8
0, 19, 18, 44
0, 22, 8, 69
0, 5, 15, 35
0, 25, 0, 32
0, 1, 10, 16
0, 3, 4, 5
0, 3, 7, 46
0, 18, 3, 15
0, 24, 18, 28
0, 15, 2, 51
0, 15, 9, 2
0, 1, 13, 19
0, 5, 17, 70
0, 1, 12, 68
0, 11, 5, 56
0, 4, 13, 58
0, 20, 19, 52
0, 12, 13, 60
0, 7, 1, 37
1, 0, 11, 51
1, 5, 0, 55
1, 14, 9, 29
1, 25, 1, 53
1, 16, 19, 19
1, 26, 6, 10
1, 12, 2, 11
1, 24, 11, 10
1, 5, 10, 3
1, 26, 14, 0
1, 27, 7, 54
1, 22, 1, 44
1, 6, 7, 74
1, 16, 2, 43
1, 4, 10, 64
1, 19, 15, 52
1, 18, 3, 18
1, 0, 18, 44
1, 27, 7, 13
1, 9, 15, 71
1, 0, 14, 9
1, 8, 5, 28
1, 24, 5, 74
1, 10, 2, 45
1, 25, 6, 9
1, 29, 17, 62
1, 12, 10, 3
1, 18, 3, 9
1, 6, 1, 22
1, 15, 5, 62
1, 3, 2, 33
1, 9, 19, 14
1, 12, 9, 35
1, 19, 13, 2
1, 5, 12, 22
1, 14, 0, 16
1, 12, 0, 19
1, 5, 6, 42
1, 13, 18, 38
1, 25, 9, 41
1, 24, 15, 35
1, 22, 19, 0
1, 18, 6, 38
1, 14, 9, 20
1, 28, 16, 17
1, 7, 12, 49
1, 8, 18, 46
1, 7, 2, 47
1, 21, 18, 10
1, 24, 7, 27
1, 5, 16, 66
1, 24, 0, 69
1, 12, 2, 27
1, 16, 19, 62
1, 25, 15, 54
1, 18, 2, 31
1, 3, 15, 2
1, 29, 11, 46
1, 9, 11, 11
1, 4, 10, 60
1, 18, 18, 3
1, 6, 2, 25
1, 14, 7, 51
1, 17, 15, 43
1, 10, 7, 67
1, 11, 18, 27
1, 4, 14, 58
1, 2, 16, 10
1, 8, 0, 32
1, 4, 15, 18
1, 20, 1, 14
1, 2, 8, 46
1, 0, 9, 51
1, 9, 19, 76
1, 12, 0, 78
1, 11, 4, 1
1, 21, 18, 5
1, 27, 13, 53
1, 5, 18, 21
1, 10, 19, 18
1, 7, 12, 9
1, 5, 3, 47
1, 29, 0, 49
1, 3, 8, 18
1, 22, 0, 48
1, 7, 1, 6
1, 6, 14, 45
1, 29, 1, 36
1, 9, 3, 43
1, 7, 4, 43
1, 25, 7, 1
1, 20, 13, 47
1, 28, 14, 9
1, 17, 14, 28
1, 23, 12, 42
1, 23, 1, 69
1, 2, 13, 15
1, 19, 2, 44
1, 3, 14, 2
1, 11, 4, 78
1, 10, 1, 56
1, 18, 18, 17
1, 19, 15, 50
1, 16, 18, 71
1, 2, 5, 25
1, 19, 16, 2
1, 0, 1, 67
1, 29, 12, 5
1, 9, 11, 60
1, 0, 1, 76
2, 16, 13, 38
2, 17, 10, 36
2, 11, 9, 19
2, 17, 6, 39
2, 11, 10, 78
2, 11, 13, 15
2, 25, 16, 6
2, 10, 11, 60
2, 17, 2, 24
2, 12, 6, 34
2, 12, 10, 79
2, 2, 14, 47
2, 27, 16, 54
2, 12, 0, 31
2, 12, 19, 46
2, 13, 8, 72
2, 22, 7, 40
2, 27, 3, 25
2, 10, 5, 44
2, 9, 17, 1
2, 29, 8, 21
2, 23, 13, 1
2, 8, 11, 8
2, 29, 7, 79
2, 15, 19, 19
2, 3, 7, 54
2, 29, 3, 77
2, 10, 15, 42
2, 23, 2, 70
2, 11, 0, 28
2, 24, 0, 14
2, 11, 3, 57
2, 1, 7, 67
