ID, Course, Class, Grade
32, 26, 8, 79
6, 2, 10, 79
37, 3, 6, 79
11, 25, 0, 79
3, 28, 11, 79
28, 11, 13, 79
2, 12, 10, 79
18, 28, 5, 79
16, 19, 15, 79
26, 2, 3, 79
37, 1, 19, 79
43, 13, 15, 79
7, 1, 9, 79
39, 20, 6, 79
22, 3, 6, 79
18, 7, 9, 79
15, 25, 11, 79
18, 4, 18, 79
13, 9, 14, 79
2, 29, 7, 79
26, 14, 7, 79
4, 19, 12, 79
32, 8, 5, 79
0, 27, 13, 79
35, 13, 0, 79
24, 6, 8, 79
0, 11, 10, 79
34, 25, 1, 79
10, 25, 0, 79
12, 3, 6, 79
42, 10, 2, 79
23, 7, 5, 79
19, 5, 4, 79
9, 23, 19, 79
35, 0, 19, 79
19, 15, 12, 79
49, 17, 8, 79
49, 9, 3, 79
26, 2, 4, 79
46, 15, 7, 79
4, 11, 6, 79
26, 26, 8, 79
26, 15, 13, 79
16, 17, 16, 79
8, 25, 16, 79
25, 20, 12, 79
11, 4, 7, 79
31, 10, 9, 79
33, 5, 18, 79
6, 1, 3, 79
10, 22, 0, 79
17, 13, 15, 79
32, 21, 13, 79
5, 11, 14, 79
3, 14, 3, 79
14, 2, 19, 79
28, 23, 16, 79
43, 14, 12, 79
46, 3, 19, 78
16, 29, 10, 78
2, 11, 10, 78
48, 25, 11, 78
11, 5, 10, 78
38, 25, 7, 78
35, 7, 1, 78
14, 5, 14, 78
28, 3, 9, 78
14, 25, 3, 78
34, 22, 11, 78
30, 22, 9, 78
38, 4, 17, 78
33, 22, 19, 78
32, 8, 10, 78
10, 12, 11, 78
8, 25, 0, 78
30, 4, 19, 78
34, 3, 7, 78
38, 12, 4, 78
25, 12, 16, 78
43, 13, 10, 78
26, 29, 4, 78
46, 5, 13, 78
28, 23, 4, 78
14, 10, 0, 78
17, 29, 1, 78
48, 2, 0, 78
0, 10, 4, 78
27, 29, 12, 78
6, 3, 9, 78
48, 11, 9, 78
13, 4, 4, 78
41, 19, 17, 78
42, 26, 10, 78
10, 18, 14, 78
42, 16, 12, 78
37, 15, 0, 78
49, 10, 8, 78
14, 28, 16, 78
31, 26, 8, 78
44, 26, 18, 78
12, 27, 16, 78
8, 13, 16, 78
39, 18, 9, 78
39, 6, 0, 78
11, 14, 2, 78
8, 1, 9, 78
3, 26, 12, 78
38, 29, 9, 78
16, 6, 18, 78
15, 28, 5, 78
12, 26, 10, 78
1, 12, 0, 78
6, 27, 10, 78
6, 28, 11, 78
1, 11, 4, 78
27, 22, 7, 78
25, 28, 9, 78
33, 7, 16, 78
24, 19, 5, 78
36, 19, 9, 77
45, 23, 7, 77
25, 11, 18, 77
26, 27, 13, 77
30, 14, 1, 77
22, 24, 1, 77
10, 29, 10, 77
26, 16, 7, 77
17, 5, 11, 77
21, 7, 0, 77
13, 5, 4, 77
18, 5, 13, 77
11, 18, 5, 77
2, 29, 3, 77
46, 13, 9, 77
39, 28, 17, 77
21, 18, 2, 77
0, 6, 8, 77
23, 22, 18, 77
43, 23, 19, 77
22, 13, 13, 77
38, 2, 6, 77
16, 0, 8, 77
44, 0, 13, 77
28, 6, 18, 77
14, 20, 9, 77
42, 16, 5, 77
24, 9, 9, 77
37, 18, 7, 77
44, 22, 3, 77
3, 14, 5, 77
3, 13, 5, 77
34, 28, 3, 77
27, 13, 5, 77
3, 18, 18, 77
48, 9, 4, 77
31, 15, 10, 77
27, 13, 17, 77
0, 13, 4, 77
8, 11, 4, 77
18, 16, 19, 77
42, 26, 8, 77
9, 13, 13, 77
31, 3, 1, 77
22, 24, 11, 77
13, 12, 0, 77
24, 8, 3, 77
20, 24, 3, 77
29, 28, 16, 77
13, 25, 6, 77
29, 3, 12, 77
17, 5, 11, 77
36, 18, 15, 77
38, 20, 5, 77
23, 19, 7, 77
44, 9, 3, 77
41, 22, 9, 77
14, 29, 14, 77
49, 28, 1, 77
45, 5, 6, 77
20, 27, 5, 77
26, 17, 12, 77
27, 7, 11, 77
6, 26, 4, 77
32, 25, 0, 77
48, 2, 0, 77
18, 18, 17, 76
10, 1, 19, 76
40, 2, 0, 76
8, 29, 12, 76
18, 29, 18, 76
28, 12, 8, 76
32, 26, 6, 76
21, 0, 19, 76
40, 9, 16, 76
3, 20, 15, 76
42, 16, 11, 76
34, 17, 14, 76
22, 25, 19, 76
19, 4, 0, 76
12, 26, 5, 76
8, 20, 7, 76
13, 8, 0, 76
17, 18, 10, 76
3, 6, 10, 76
27, 17, 13, 76
6, 18, 17, 76
8, 8, 7, 76
19, 10, 14, 76
34, 25, 2, 76
37, 8, 11, 76
37, 17, 5, 76
11, 18, 19, 76
46, 10, 3, 76
48, 18, 17, 76
31, 8, 6, 76
7, 25, 13, 76
14, 25, 5, 76
11, 17, 3, 76
45, 1, 10, 76
14, 16, 2, 76
23, 13, 19, 76
33, 19, 3, 76
1, 9, 19, 76
23, 7, 2, 76
40, 23, 16, 76
37, 25, 6, 76
39, 4, 18, 76
44, 27, 15, 76
47, 22, 3, 76
19, 17, 7, 76
19, 27, 2, 76
46, 27, 9, 76
25, 5, 12, 76
24, 7, 13, 76
44, 26, 15, 76
41, 15, 8, 76
22, 12, 18, 76
4, 10, 15, 76
13, 7, 6, 76
1, 0, 1, 76
24, 11, 15, 76
9, 9, 9, 75
13, 20, 11, 75
12, 17, 15, 75
32, 15, 9, 75
43, 27, 15, 75
8, 1, 11, 75
28, 24, 7, 75
19, 27, 6, 75
27, 1, 8, 75
22, 29, 15, 75
42, 28, 16, 75
20, 25, 4, 75
41, 7, 11, 75
32, 9, 11, 75
25, 11, 0, 75
41, 5, 6, 75
34, 23, 10, 75
27, 21, 18, 75
28, 12, 17, 75
3, 25, 3, 75
44, 19, 7, 75
32, 11, 2, 75
35, 5, 14, 75
39, 10, 2, 75
16, 20, 9, 75
38, 4, 5, 75
16, 14, 17, 75
35, 25, 9, 75
16, 10, 8, 75
30, 17, 17, 75
6, 22, 17, 75
31, 22, 11, 75
24, 10, 1, 75
47, 9, 9, 75
41, 6, 19, 75
7, 21, 3, 75
44, 19, 15, 75
29, 25, 2, 75
32, 13, 6, 75
11, 10, 19, 75
30, 4, 11, 75
32, 2, 18, 75
42, 27, 4, 75
31, 14, 6, 75
11, 7, 7, 75
20, 15, 15, 75
4, 10, 17, 75
4, 23, 18, 75
8, 5, 10, 75
36, 20, 19, 75
49, 23, 7, 75
43, 20, 16, 75
23, 8, 10, 75
7, 23, 6, 75
40, 5, 12, 75
40, 27, 19, 75
5, 7, 12, 75
27, 19, 4, 75
8, 2, 2, 75
29, 15, 7, 75
49, 27, 11, 75
33, 0, 10, 75
26, 22, 5, 75
3, 25, 1, 75
44, 4, 7, 75
18, 24, 9, 75
29, 3, 19, 75
38, 4, 8, 75
22, 14, 18, 75
20, 15, 11, 75
42, 2, 11, 75
35, 4, 7, 75
19, 11, 10, 75
29, 7, 2, 75
31, 18, 2, 75
9, 18, 9, 75
44, 10, 17, 75
48, 21, 11, 75
29, 7, 8, 74
41, 22, 14, 74
29, 17, 19, 74
29, 23, 13, 74
18, 20, 5, 74
23, 9, 10, 74
30, 14, 5, 74
47, 26, 15, 74
1, 6, 7, 74
48, 29, 4, 74
48, 26, 7, 74
41, 0, 16, 74
17, 22, 1, 74
22, 5, 19, 74
27, 15, 4, 74
15, 20, 7, 74
17, 19, 8, 74
19, 18, 10, 74
26, 17, 10, 74
0, 10, 19, 74
10, 3, 11, 74
1, 24, 5, 74
14, 9, 8, 74
4, 0, 7, 74
31, 13, 15, 74
26, 6, 10, 74
15, 10, 7, 74
17, 22, 9, 74
19, 0, 8, 74
6, 7, 9, 74
16, 24, 2, 74
14, 1, 2, 74
16, 14, 5, 74
45, 12, 12, 74
4, 18, 6, 74
29, 7, 16, 74
35, 26, 11, 74
7, 18, 10, 74
17, 17, 17, 74
38, 19, 4, 74
34, 10, 13, 74
43, 12, 9, 74
27, 25, 3, 74
32, 14, 15, 74
4, 0, 11, 74
29, 27, 2, 74
39, 29, 5, 74
7, 29, 3, 74
35, 1, 7, 74
35, 27, 16, 74
43, 15, 10, 74
15, 18, 12, 74
20, 21, 7, 74
19, 23, 1, 74
28, 2, 19, 74
8, 14, 1, 74
3, 23, 1, 74
27, 16, 13, 74
35, 5, 17, 74
46, 10, 19, 74
23, 11, 5, 74
40, 4, 12, 74
41, 9, 14, 74
45, 26, 1, 74
26, 18, 8, 74
47, 28, 5, 74
40, 28, 10, 74
13, 0, 3, 74
2, 29, 6, 74
11, 1, 10, 74
49, 25, 18, 74
33, 18, 7, 74
28, 22, 1, 74
19, 25, 16, 74
18, 10, 11, 74
4, 19, 4, 74
19, 9, 13, 74
45, 16, 15, 74
21, 4, 19, 74
28, 22, 8, 74
44, 9, 15, 73
35, 27, 9, 73
10, 19, 5, 73
32, 0, 3, 73
36, 10, 15, 73
18, 4, 8, 73
35, 22, 17, 73
31, 5, 16, 73
48, 18, 14, 73
5, 22, 1, 73
46, 25, 16, 73
11, 11, 3, 73
