ID, Course, Class, Grade
23, 25, 18, 6
20, 4, 9, 6
19, 12, 16, 58
20, 4, 4, 53
11, 10, 18, 47
6, 27, 4, 11
35, 8, 13, 59
1, 12, 0, 46
30, 19, 12, 40
35, 13, 18, 74
36, 16, 12, 58
0, 9, 3, 73
41, 1, 13, 30
8, 29, 1, 66
19, 26, 5, 60
29, 18, 6, 9
9, 28, 1, 4
14, 1, 11, 52
37, 25, 10, 9
14, 25, 2, 78
26, 15, 8, 44
27, 11, 2, 16
37, 0, 17, 28
48, 15, 9, 47
44, 0, 11, 10
1, 22, 2, 50
28, 24, 19, 34
49, 12, 4, 35
49, 24, 11, 26
27, 24, 3, 25
36, 2, 5, 4
7, 15, 3, 53
7, 14, 3, 71
49, 5, 1, 79
49, 13, 5, 18
17, 22, 5, 28
46, 27, 15, 64
33, 20, 1, 29
14, 16, 13, 73
43, 16, 7, 43
42, 12, 14, 3
18, 27, 14, 69
2, 22, 0, 19
34, 15, 8, 52
32, 5, 16, 5
7, 9, 14, 51
28, 19, 4, 21
37, 3, 4, 2
16, 20, 17, 6
10, 2, 15, 62
4, 25, 2, 50
21, 12, 2, 35
7, 21, 1, 66
30, 27, 9, 68
47, 5, 2, 6
9, 18, 8, 55
49, 6, 1, 59
0, 18, 13, 66
44, 25, 16, 77
27, 0, 12, 6
1, 13, 12, 62
3, 23, 2, 20
29, 24, 6, 28
35, 7, 15, 4
3, 8, 15, 55
46, 18, 1, 52
26, 29, 9, 65
29, 22, 4, 61
27, 18, 15, 0
42, 29, 12, 61
34, 1, 9, 1
30, 6, 5, 35
4, 22, 10, 52
22, 1, 5, 0
12, 16, 6, 71
40, 12, 4, 40
0, 9, 12, 72
49, 17, 5, 55
8, 26, 16, 78
2, 13, 13, 38
17, 25, 11, 29
18, 8, 2, 30
16, 28, 1, 27
2, 6, 7, 52
37, 11, 17, 6
18, 14, 13, 68
41, 11, 6, 75
44, 11, 6, 51
8, 17, 13, 76
27, 5, 6, 63
45, 28, 2, 57
26, 11, 1, 3
13, 20, 2, 1
15, 15, 10, 78
9, 18, 13, 63
22, 19, 7, 10
28, 2, 7, 57
17, 3, 13, 34
43, 15, 11, 59
37, 4, 15, 10
15, 27, 3, 32
14, 25, 10, 13
24, 5, 9, 38
5, 26, 8, 75
18, 17, 13, 7
3, 26, 1, 26
1, 4, 18, 50
28, 3, 12, 15
42, 8, 7, 46
23, 9, 12, 19
15, 11, 17, 72
9, 18, 7, 29
15, 2, 16, 58
48, 29, 17, 72
33, 5, 14, 13
40, 7, 1, 62
15, 0, 0, 40
10, 14, 0, 15
37, 27, 19, 58
15, 6, 7, 33
9, 5, 11, 9
16, 18, 13, 41
5, 18, 15, 27
47, 8, 9, 34
18, 2, 14, 58
48, 24, 5, 16
34, 24, 14, 59
13, 24, 12, 62
11, 6, 3, 38
6, 17, 19, 52
7, 26, 19, 24
24, 1, 18, 43
15, 12, 13, 13
19, 29, 1, 23
35, 18, 2, 58
4, 17, 12, 55
23, 26, 5, 31
5, 15, 3, 62
23, 5, 18, 30
48, 8, 13, 75
12, 28, 0, 31
47, 2, 14, 13
22, 29, 11, 56
28, 24, 11, 63
12, 17, 14, 9
14, 20, 11, 77
37, 11, 19, 17
39, 2, 12, 1
1, 24, 5, 0
18, 21, 5, 40
12, 17, 16, 72
23, 20, 15, 37
47, 22, 6, 23
12, 19, 12, 61
42, 2, 18, 31
26, 12, 4, 39
26, 1, 0, 25
43, 5, 17, 57
34, 4, 10, 79
14, 15, 8, 63
29, 24, 18, 71
45, 20, 12, 57
